title:the grid
description: it's the grid baby
dimwishlist:item=4164201232&perks=3400784728,2610012052#notes: pve (d2gunsmith) - 1000 yard stare, tripple tap, golden tricorn
dimwishlist:item=4164201232&perks=706527188,957782887#notes: pvp (d2gunsmith) - 1000 yard stare, quickdraw, snapshot sights
dimwishlist:item=1471212226&perks=1523832109,4293542123#notes: pve (RoN) - acasia's dejection - reconstruction, incandescent
dimwishlist:item=4095896073&perks=201365942,3365897133#notes: the grid (season 13) - accrued redemption, archers tempo, explosive head
dimwishlist:item=4184808992&perks=3400784728,1546637391#notes: the grid (season 13) - adored, triple tap, vorpal weapon
dimwishlist:item=601592879&perks=1354429876,3425386926#notes: the grid (season 13) - ageold bond, fourth times the charm, rampage
dimwishlist:item=48643186&perks=1168162263,4082225868#notes: the grid (season 13) - ancient gospel, outlaw, swashbuckler
dimwishlist:item=2545083870&perks=2010801679,1015611457#notes: the grid (season 13) - apex predator, ambitious assassin, kill clip
dimwishlist:item=2164448701&perks=1168162263,3038247973#notes: the grid (season 13) - apostate, outlaw, explosive payload
dimwishlist:item=20935540&perks=1820235745,2726471870#notes: the grid (season 13) - arctic haze, subsistence, thresh
dimwishlist:item=1697682876&perks=2869569095,4082225868#notes: the grid (season 13) - astral horizon, field prep, swashbuckler
dimwishlist:item=3110377595&perks=2846385770,460017080#notes: pvp - autumn wind, rangefinder, headseeker
dimwishlist:item=66875353&perks=3300816228,4082225868#notes: the grid (season 13) - avalanche, autoloading holster, swashbuckler
dimwishlist:item=991314988&perks=2869569095,1015611457#notes: the grid (season 13) - bad omens, field prep, kill clip
dimwishlist:item=3366545721&perks=2726471870,354401740#notes: the grid (season 13) - bequest, thresh, assassins blade
dimwishlist:item=407621213&perks=2869569095,3523296417#notes: the grid (season 13) - berengers memory, field prep, demolitionist
dimwishlist:item=1621657423&perks=2450788523,3350417888#notes: the grid (season 13) - biting winds, killing wind, sympathetic arsenal
dimwishlist:item=2782847179&perks=1354429876,2726471870#notes: the grid (season 13) - blasphemer, fourth times the charm, thresh
dimwishlist:item=2453357042&perks=2284787283,2396489472#notes: the grid (season 13) - blast battue, clown cartridge, chain reaction
dimwishlist:item=4037745684&perks=3400784728,3523296417#notes: the grid (season 13) - bonechiller, triple tap, demolitionist
dimwishlist:item=1046651176&perks=1168162263,3425386926#notes: the grid (season 13) - bottom dollar, outlaw, rampage
dimwishlist:item=2121785039&perks=2779035018,4104185692#notes: the grid (season 13) - brass attacks, feeding frenzy, frenzy
dimwishlist:item=999767358&perks=839105230,2680121939,1354429876,3078487919#notes: pve (VoD) - cataclysmic, arrowhead brake, enhanced battery, fourth time's, bait and switch
dimwishlist:item=2481881293&perks=2039302152,2213355989#notes: the grid (season 13) - cartesian coordinate, slideways, highimpact reserves
dimwishlist:item=2481881293&perks=689005463,1546637391,3128594062#notes: boss dps (d2gunsmith) - cartesian coordinate, accelerated coils, vorpal weapon
dimwishlist:item=568515759&perks=1015611457,2213355989#notes: the grid (season 13) - chattering bone, kill clip, highimpact reserves
dimwishlist:item=2496242052&perks=2869569095,4104185692#notes: the grid (season 13) - code duello, field prep, frenzy
dimwishlist:item=1216130969&perks=2779035018,3350417888#notes: the grid (season 13) - cold denial, feeding frenzy, sympathetic arsenal
dimwishlist:item=1506719573&perks=3436462433,4049631843#notes: the grid (season 13) - cold front, surplus, one for all
dimwishlist:item=4230965989&perks=1523832109,3425386926#notes: the grid (season 13) - commemoration, reconstruction, rampage
dimwishlist:item=3512349612&perks=2779035018,2726471870#notes: the grid (season 13) - coriolis force, feeding frenzy, thresh
dimwishlist:item=2714022207&perks=1168162263,3523296417#notes: the grid (season 13) - corsairs wrath, outlaw, demolitionist
dimwishlist:item=3565520715&perks=2869569095,2396489472#notes: the grid (season 13) - crowd pleaser, field prep, chain reaction
dimwishlist:item=981718087&perks=2010801679,3592538738#notes: the grid (season 13) - deafening whisper, ambitious assassin, wellspring
dimwishlist:item=2742490609&perks=1820235745,2848615171#notes: the grid (season 13) - death adder, subsistence, dragonfly
dimwishlist:item=768621510&perks=839105230,689005463,3523296417,2978966579#notes: pve (VoD) - deliverance, arrowhead brake, accelerated coils, demolitionist, chill clip
dimwishlist:item=2742838701&perks=3643424744,4082225868#notes: the grid (season 13) - dire promise, overflow, swashbuckler
dimwishlist:item=2807687156&perks=2284787283,1771339417#notes: the grid (season 13) - distant tumulus, clown cartridge, firing line
dimwishlist:item=1723380073&perks=3400784728,3523296417#notes: the grid (season 13) - enigmas draw, triple tap, demolitionist
dimwishlist:item=1786797708&perks=3643424744,3708227201#notes: the grid (season 13) - escape velocity, overflow, surrounded
dimwishlist:item=3514096004&perks=3643424744,4049631843#notes: the grid (season 13) - eternal blazon, overflow, one for all
dimwishlist:item=679281855&perks=2869569095,2458213969#notes: the grid (season 13) - exiles curse, field prep, multikill clip
dimwishlist:item=1097616550&perks=3643424744,4104185692#notes: the grid (season 13) - extraordinary rendition, overflow, frenzy
dimwishlist:item=3164743584&perks=2869569095,1546637391#notes: the grid (season 13) - eye of sol, field prep, vorpal weapon
dimwishlist:item=614426548&perks=1749209109,3913600130#notes: the grid (season 13) - falling guillotine, relentless strikes, whirlwind blade
dimwishlist:item=3143732432&perks=3643424744,3425386926#notes: the grid (season 13) - false promises, overflow, rampage
dimwishlist:item=893527433&perks=3300816228,4104185692#notes: the grid (season 13) - far future, autoloading holster, frenzy
dimwishlist:item=3616586446&perks=3300816228,1546637391#notes: the grid (season 13) - first in last out, autoloading holster, vorpal weapon
dimwishlist:item=613334176&perks=2010801679,2396489472#notes: pve (dsc) - forberance, ambitious assassin, chain reaction
dimwishlist:item=3184681056&perks=706527188,47981717#notes: pvp (d2gunsmith) - fractethyst, quickdraw, opening shot
dimwishlist:item=1513993763&perks=2869569095,3592538738#notes: the grid (season 13) - friction fire, field prep, wellspring
dimwishlist:item=3473290087&perks=3300816228,2726471870#notes: the grid (season 13) - frozen orbit, autoloading holster, thresh
dimwishlist:item=3341893443&perks=1458010786,3250034553,3142289711,1820235745,4104185692#notes: pve - funnel web, subsistence, frenzy
dimwishlist:item=1030895163&perks=3161816588,2213355989#notes: the grid (season 13) - glacioclasm, slideshot, highimpact reserves
dimwishlist:item=821154603&perks=3643424744,3425386926#notes: the grid (season 13) - gnawing hunger, overflow, rampage
dimwishlist:item=2870169846&perks=1168162263,3592538738#notes: the grid (season 13) - hailing confusion, outlaw, wellspring
dimwishlist:item=3257091166&perks=3705817207,2077819806#notes: pve (doe) - half-truths, duelists trance, eager edge
dimwishlist:item=1606497639&perks=968510818,776531651#notes: pve (season 20) - harsh language, envious assassin, repulsor brace
dimwishlist:item=3067821200&perks=2010801679,3927722942#notes: the grid (season 13) - heretic, ambitious assassin, lasting impression
dimwishlist:item=4248569242&perks=1523832109,469285294#notes: the grid (season 13) - heritage, reconstruction, recombination
dimwishlist:item=1197486957&perks=4071163871,3592538738#notes: the grid (season 13) - high albedo, threat detector, wellspring
dimwishlist:item=607191995&perks=2450788523,3708227201#notes: the grid (season 13) - hollow words, killing wind, surrounded
dimwishlist:item=2857348871&perks=1749209109,3913600130#notes: the grid (season 13) - honors edge, relentless strikes, whirlwind blade
dimwishlist:item=3669616453&perks=2869569095,3523296417#notes: the grid (season 13) - hoosegow, field prep, demolitionist
dimwishlist:item=4281371574&perks=247725512,3038247973#notes: pve (d2gunsmith) - hung jury sr4, rapid hit, explosive payload
dimwishlist:item=681067419&perks=247725512,3038247973#notes: pve (d2gunsmith) - hung jury sr4 (adept), rapid hit, explosive payload
dimwishlist:item=2351180975&perks=1168162263,4049631843#notes: the grid (season 13) - igneous hammer, outlaw, one for all
dimwishlist:item=1200824700&perks=1820235745,2213355989#notes: the grid (season 13) - ikelos hc v102, subsistence, highimpact reserves
dimwishlist:item=1096206669&perks=1556840489,2360754333#notes: the grid (season 13) - ikelos sg v102, lead from gold, trench barrel
dimwishlist:item=2222560548&perks=4071163871,3523296417#notes: the grid (season 13) - ikelos smg v102, threat detector, demolitionist
dimwishlist:item=2149683300&perks=2779035018,2173046394#notes: pve (season 19) - ikelos smg v103, feeding frenzy, voltshot
dimwishlist:item=1253087083&perks=1354429876,2213355989#notes: the grid (season 13) - ikelos sr v102, fourth times the charm, highimpact reserves
dimwishlist:item=3460122497&perks=951095735,4104185692#notes: the grid (season 13) - imperial needle, impulse amplifier, frenzy
dimwishlist:item=2673925403&perks=1354429876,1771339417#notes: pve (season 20) - irukandji, fourth time's, firing line
dimwishlist:item=1162247618&perks=1683379515,3425386926#notes: the grid (season 13) - jian 7 rifle, disruption break, rampage
dimwishlist:item=188882152&perks=1168162263,1015611457#notes: the grid (season 13) - last perdition, outlaw, kill clip
dimwishlist:item=2199171672&perks=3643424744,4082225868#notes: the grid (season 13) - lonesome, overflow, swashbuckler
dimwishlist:item=3745990145&perks=247725512,3400784728#notes: the grid (season 13) - long shadow, rapid hit, triple tap
dimwishlist:item=253196586&perks=3300816228,2213355989#notes: the grid (season 13) - main ingredient, autoloading holster, high impact reserves
dimwishlist:item=2563012876&perks=1482024992,3142289711,4071163871,47981717#notes: pvp (season 15) - matador 64, smallbore, accurized rounds, threat detector, opening shot
dimwishlist:item=3717177717&perks=1820235745,1015611457#notes: the grid (season 13) - multimach ccx, subsistence, kill clip
dimwishlist:item=996109059&perks=3619207468,3891536761#notes: pve (season 20) - nameless midnight, keep away, kinetic tremors
dimwishlist:item=654370424&perks=1168162263,2848615171#notes: the grid (season 13) - nation of beasts, outlaw, dragonfly
dimwishlist:item=1835747805&perks=1820235745,2848615171#notes: the grid (season 13) - nature of the beast, subsistence, dragonfly
dimwishlist:item=3629968765&perks=2030760728,1683379515#notes: the grid (season 13) - negative space, energy transfer, disruption break
dimwishlist:item=135029084&perks=776531651,2048641572#notes: pve (RoN) - nessa's oblation - repulsor brace, destabilizing rounds
dimwishlist:item=3504336176&perks=3643424744,3038247973#notes: the grid (season 13) - night watch, overflow, explosive payload
dimwishlist:item=3454326177&perks=1168162263,2848615171#notes: the grid (season 13) - omniscient eye, outlaw, dragonfly
dimwishlist:item=2108920981&perks=2869569095,3523296417#notes: the grid (season 13) - orewings maul, field prep, demolitionist
dimwishlist:item=4146702548&perks=2869569095,2010801679#notes: the grid (season 13) - outrageous fortune, field prep, ambitious assassin
dimwishlist:item=392008588&perks=3619207468,831391274#notes: pve (season 20) - perpetualis, keep away, hatchling
dimwishlist:item=3281285075&perks=1523832109,4049631843#notes: the grid (season 13) - posterity, reconstruction, one for all
dimwishlist:item=208088207&perks=2779035018,3425386926#notes: the grid (season 13) - premonition, feeding frenzy, rampage
dimwishlist:item=4020742303&perks=2779035018,2679249093#notes: the grid (season 13) - prophet of doom, feeding frenzy, onetwo punch
dimwishlist:item=3385326721&perks=3300816228,3523296417#notes: the grid (season 13) - reckless oracle, autoloading holster, demolitionist
dimwishlist:item=268260372&perks=3301904089,3300816228,3194351027: pve (season 20) - regnant, spike grenades, autoloading holster, explosive light
dimwishlist:item=1399243961&perks=1687452232,3400784728,1771339417#notes: boss dps (d2gunsmith) - reeds regret, liquid coils, triple tap, firing line
dimwishlist:item=2475355656&perks=1687452232,3400784728,1771339417#notes: boss dps (d2gunsmith) - reeds regret (adept), liquid coils, triple tap, firing line
dimwishlist:item=346136302&perks=3161816588,2679249093#notes: the grid (season 13) - retold tale, slideshot, onetwo punch
dimwishlist:item=1402766122&perks=25606670,2726471870#notes: the grid (season 13) - retrofuturist, dual loader, thresh
dimwishlist:item=2715240478&perks=3300816228,2978966579#notes: pve (season 17) - riptide, autoloading holster, chill clip
dimwishlist:item=2776503072&perks=2869569095,2458213969#notes: the grid (season 13) - royal chase, field prep, multikill clip
dimwishlist:item=2448907086&perks=2869569095,2284787283#notes: the grid (season 13) - royal entry, field prep, clown cartridge
dimwishlist:item=1720503118&perks=968510818,1427256713#notes: pve (season 20) - royal executioner, envious assassin, reservoir burst
dimwishlist:item=2408405461&perks=1168162263,1015611457#notes: the grid (season 13) - sacred provenance, outlaw, kill clip
dimwishlist:item=2060863616&perks=2010801679,2396489472#notes: the grid (season 13) - salvagers salvo, ambitious assassin, chain reaction
dimwishlist:item=602618796&perks=1820235745,3425386926#notes: pve (d2gunsmith) - scathelocke, subsistence, rampage
dimwishlist:item=1561006927&perks=1354429876,3425386926#notes: the grid (season 13) - seventh seraph carbine, fourth times the charm, rampage
dimwishlist:item=1821724780&perks=3300816228,2360754333#notes: the grid (season 13) - seventh seraph cqc12, autoloading holster, trench barrel
dimwishlist:item=3037520408&perks=1354429876,1954620775#notes: the grid (season 13) - seventh seraph officer revolver, fourth times the charm, timed payload
dimwishlist:item=2582755344&perks=3300816228,1771339417#notes: the grid (season 13) - seventh seraph saw, autoloading holster, firing line
dimwishlist:item=3937866388&perks=3523296417,3708227201#notes: the grid (season 13) - seventh seraph si2, demolitionist, surrounded
dimwishlist:item=766323545&perks=2779035018,2010801679#notes: the grid (season 13) - seventh seraph vy7, feeding frenzy, ambitious assassin
dimwishlist:item=2633186522&perks=3643424744,4049631843#notes: the grid (season 13) - shadow price, overflow, one for all
dimwishlist:item=136525518&perks=3300816228,3523296417#notes: the grid (season 13) - shining sphere, autoloading holster, demolitionist
dimwishlist:item=3740842661&perks=2869569095,1546637391#notes: the grid (season 13) - sleepless, field prep, vorpal weapon
dimwishlist:item=1313528549&perks=2590710093,2396489472#notes: the grid (season 13) - solas scar, tireless blade, chain reaction
dimwishlist:item=2050789284&perks=2869569095,1015611457#notes: the grid (season 13) - stars in shadow, field prep, kill clip
dimwishlist:item=4230993599&perks=1749209109,3913600130#notes: the grid (season 13) - steel sybil z14, relentless strikes, whirlwind blade
dimwishlist:item=42351395&perks=2010801679,2726471870#notes: the grid (season 13) - subzero salvo, ambitious assassin, thresh
dimwishlist:item=2990047042&perks=1523832109,469285294#notes: the grid (season 13) - succession, reconstruction, recombination
dimwishlist:item=3335343363&perks=2869569095,1015611457#notes: the grid (season 13) - tarantula, field prep, kill clip
dimwishlist:item=4094657108&perks=3425386926,1015611457#notes: the grid (season 13) - techeun force, rampage, kill clip
dimwishlist:item=35794111&perks=2590710093,3708227201#notes: the grid (season 13) - temptations hook, tireless blade, surrounded
dimwishlist:item=65611680&perks=2779035018,1015611457#notes: the grid (season 13) - the fools remedy, feeding frenzy, kill clip
dimwishlist:item=1690783811&perks=1354429876,2458213969#notes: the grid (season 13) - the forward path, fourth times the charm, multikill clip
dimwishlist:item=1641430382&perks=247725512,4049631843#notes: the grid (season 13) - the guiding sight, rapid hit, one for all
dimwishlist:item=4039572196&perks=2846385770,365154968#notes: pvp (season 20) - the immortal, rangefinder, target lock
dimwishlist:item=409551876&perks=247725512,2726471870#notes: the grid (season 13) - the keening, rapid hit, thresh
dimwishlist:item=3326850591&perks=3643424744,1771339417#notes: pve (d2gunsmith) - the long walk, overflow, firing line
dimwishlist:item=3658188704&perks=247725512,3047969693#notes: the grid (season 13) - the messenger, rapid hit, desperado
dimwishlist:item=432476743&perks=3643424744,4049631843#notes: the grid (season 13) - the palindrome, overflow, one for all
dimwishlist:item=2478792241&perks=4267945040,1546637391#notes: the grid (season 13) - the scholar, full auto trigger system, vorpal weapon
dimwishlist:item=2220884262&perks=1168162263,3592538738#notes: the grid (season 13) - the steady hand, outlaw, wellspring
dimwishlist:item=1907698332&perks=3643424744,2848615171#notes: the grid (season 13) - the summoner, overflow, dragonfly
dimwishlist:item=686951703&perks=1168162263,3400784728#notes: the grid (season 13) - the supremacy, outlaw, triple tap
dimwishlist:item=47772649&perks=1168162263,4049631843#notes: the grid (season 13) - the swarm, outlaw, one for all
dimwishlist:item=4156253727&perks=2450788523,4049631843#notes: the grid (season 13) - the third axiom, killing wind, one for all
dimwishlist:item=3593598010&perks=1820235745,3425386926#notes: the grid (season 13) - the timeworn spire, subsistence, rampage
